日期,成交張數,成交金額,收盤價,外資,投信,自營商
2026-07-08,25519,"62,400,639,776","2,465.00",-4155172.0,718872.0,468443.0
2026-07-07,31400,"77,617,188,273","2,440.00",83142.0,558268.0,-237364.0
2026-07-06,21041,"52,022,654,454","2,460.00",-241089.0,379865.0,119346.0
2026-07-03,32905,"80,082,636,340","2,445.00",-12536525.0,819022.0,652874.0
2026-07-02,35919,"88,369,879,773","2,465.00",-12253526.0,1025849.0,216739.0
2026-07-01,37544,"93,600,076,825","2,505.00",7399623.0,4742597.0,-386238.0
2026-06-30,49540,"120,516,271,220","2,410.00",-1425774.0,-89595.0,652455.0
2026-06-29,38133,"90,337,385,683","2,370.00",-1912490.0,919216.0,996850.0
2026-06-26,53800,"126,177,715,258","2,340.00",-14281155.0,734398.0,1009368.0
2026-06-25,41099,"98,673,938,497","2,390.00",-6103672.0,174060.0,-310438.0
2026-06-24,67304,"162,505,741,547","2,390.00",-38450174.0,685170.0,1078085.0
2026-06-23,39537,"99,064,704,659","2,490.00",-2726298.0,165097.0,1192045.0
2026-06-22,45207,"112,735,082,698","2,510.00",14361098.0,-201654.0,1145627.0
2026-06-18,49982,"120,198,889,493","2,410.00",7515895.0,-7268349.0,36915.0
2026-06-17,30059,"71,151,958,866","2,385.00",-6876860.0,-317313.0,895192.0
2026-06-16,37145,"88,421,095,704","2,400.00",-382091.0,3848676.0,-157723.0
2026-06-15,30228,"71,454,258,620","2,375.00",9646986.0,85521.0,107319.0
2026-06-12,26306,"60,666,936,905","2,310.00",3927424.0,-149460.0,-180577.0
2026-06-11,46417,"104,091,484,739","2,250.00",-4904284.0,612489.0,2909269.0
2026-06-10,54194,"123,146,622,990","2,255.00",-15542862.0,-3797.0,-730914.0
2026-06-09,38847,"89,604,249,837","2,305.00",-15008392.0,2660087.0,-1253628.0
2026-06-08,52273,"119,557,290,165","2,295.00",-20464649.0,730000.0,-214367.0
2026-06-05,43403,"102,970,368,110","2,365.00",-17839581.0,2900428.0,516810.0
2026-06-04,32542,"77,931,338,144","2,385.00",-11256052.0,537838.0,1099064.0
2026-06-03,29219,"70,861,766,012","2,425.00",-103827.0,647975.0,226886.0
2026-06-02,41532,"98,885,005,900","2,380.00",391294.0,-67897.0,461739.0
2026-06-01,60942,"144,105,259,583","2,355.00",-5003302.0,-559000.0,149000.0
2026-05-29,104783,"246,787,941,206","2,355.00",13284272.0,349249.0,420141.0
2026-05-28,42313,"98,017,950,283","2,295.00",-7078615.0,465061.0,466451.0
2026-05-27,40272,"93,104,987,424","2,300.00",-9521827.0,6429500.0,520298.0
2026-05-26,32781,"75,166,410,300","2,270.00",-7748559.0,-597289.0,97771.0
2026-05-25,28250,"64,901,118,325","2,310.00",4045591.0,4128500.0,97498.0
2026-05-22,26823,"60,188,140,377","2,255.00",-5003302.0,-559000.0,149000.0
2026-05-21,24929,"55,826,019,099","2,230.00",1014338.0,167000.0,423497.0
2026-05-20,38332,"84,197,244,281","2,185.00",-9521827.0,6429500.0,520298.0
2026-05-19,45585,"100,876,592,734","2,205.00",-17246941.0,4144378.0,199597.0
2026-05-18,32966,"73,654,895,962","2,240.00",-9521827.0,6429500.0,520298.0
2026-05-15,34360,"78,454,021,723","2,265.00",-3398525.0,3385792.0,-20752.0
